! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y


  400000000  0.717  -139.0   3.503    74.6  0.0573    -8.9   0.689  -160.3

  450000000  0.719  -143.1   3.082    69.7  0.0561   -13.5   0.703  -162.3

  500000000  0.724  -146.6   2.745    64.5  0.0551   -17.3   0.716  -164.1

  550000000  0.731  -149.6   2.433    59.7  0.0541   -21.1   0.728  -165.7

  600000000  0.738  -152.3   2.167    55.7  0.0527   -24.6   0.739  -167.1

  650000000  0.746  -154.8   1.948    52.2  0.0514   -27.9   0.750  -168.5

  700000000  0.754  -157.1   1.768    48.9  0.0500   -31.2   0.760  -169.8

  750000000  0.762  -159.1   1.618    45.9  0.0484   -34.5   0.769  -171.2

  800000000  0.769  -161.0   1.497    42.8  0.0461   -37.5   0.777  -172.5

  850000000  0.777  -162.9   1.385    39.1  0.0440   -39.2   0.784  -173.8

  900000000  0.784  -164.5   1.272    35.9  0.0425   -41.0   0.791  -175.0

  950000000  0.792  -166.2   1.178    32.7  0.0411   -42.7   0.796  -176.2

 1000000000  0.798  -167.7   1.085    29.5  0.0399   -44.4   0.801  -177.4

 1050000000  0.805  -169.2   1.001    26.9  0.0385   -46.7   0.805  -178.5

 1100000000  0.811  -170.6   0.928    24.2  0.0368   -48.3   0.809  -179.5

 1150000000  0.817  -172.0   0.860    21.9  0.0353   -49.6   0.813   179.4

 1200000000  0.822  -173.4   0.802    19.7  0.0339   -50.8   0.817   178.5

 1250000000  0.828  -174.8   0.747    17.5  0.0326   -51.8   0.821   177.5

 1300000000  0.833  -176.1   0.694    15.7  0.0313   -52.6   0.824   176.6

 1350000000  0.837  -177.4   0.648    14.4  0.0303   -53.1   0.828   175.7

 1400000000  0.841  -178.6   0.615    13.2  0.0295   -54.1   0.832   174.8

 1450000000  0.845  -179.9   0.583    11.3  0.0284   -55.3   0.837   173.8

 1500000000  0.849   179.0   0.548     9.6  0.0273   -56.1   0.841   172.9

 1550000000  0.853   177.8   0.515     8.5  0.0262   -56.4   0.845   172.0

 1600000000  0.856   176.6   0.491     8.3  0.0255   -56.5   0.850   171.1

 1650000000  0.860   175.4   0.479     7.5  0.0250   -57.5   0.854   170.2

 1700000000  0.862   174.3   0.465     5.3  0.0241   -59.1   0.858   169.3

 1750000000  0.865   173.2   0.443     3.2  0.0230   -59.8   0.863   168.4

 1800000000  0.868   172.1   0.422     2.2  0.0220   -59.8   0.867   167.5

 1850000000  0.870   171.0   0.408     1.9  0.0214   -59.7   0.871   166.5

 1900000000  0.871   170.5   0.406     1.7  0.0212   -60.0   0.873   166.1

 1950000000  0.872   170.0   0.406     0.8  0.0210   -61.0   0.876   165.7

 2000000000  0.873   169.5   0.403    -0.9  0.0204   -62.3   0.878   165.2

END ACDATA



VAR        vds = 5.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 17

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.973   -26.2   5.348   155.2  0.0402    65.6   0.806   -32.2

  100000000  0.916   -49.1   4.622   133.6  0.0696    44.9   0.790   -59.5

  150000000  0.861   -67.3   3.868   116.1  0.0875    28.2   0.779   -80.4

  200000000  0.825   -81.6   3.184   102.9  0.0949    14.9   0.776   -96.1

  250000000  0.805   -93.0   2.703    91.2  0.1000     4.3   0.782  -108.0

  300000000  0.796  -102.4   2.274    81.0  0.1000    -5.5   0.791  -117.3

  350000000  0.795  -110.3   1.948    72.1  0.0983   -12.8   0.802  -124.7

  400000000  0.799  -117.1   1.659    63.9  0.0964   -19.8   0.814  -130.9

  450000000  0.804  -122.9   1.428    57.4  0.0925   -26.1   0.825  -136.1

  500000000  0.811  -128.1   1.250    51.0  0.0887   -31.1   0.836  -140.6

  550000000  0.819  -132.8   1.089    44.9  0.0851   -35.9   0.846  -144.6

  600000000  0.827  -137.0   0.949    39.8  0.0813   -40.3   0.855  -148.1

  650000000  0.834  -140.7   0.834    35.4  0.0776   -44.3   0.864  -151.2

  700000000  0.842  -144.2   0.742    31.7  0.0740   -48.0   0.871  -154.1

  750000000  0.848  -147.4   0.666    28.3  0.0703   -51.9   0.878  -156.8

  800000000  0.854  -150.3   0.606    25.1  0.0658   -55.3   0.884  -159.2

  850000000  0.860  -153.0   0.555    21.3  0.0616   -57.4   0.889  -161.5

  900000000  0.865  -155.5   0.504    17.9  0.0586   -59.2   0.894  -163.6

  950000000  0.870  -157.9   0.462    14.6  0.0557   -61.0   0.899  -165.6

 1000000000  0.874  -160.1   0.422    11.3  0.0535   -62.7   0.902  -167.5

 1050000000  0.878  -162.1   0.386     8.5  0.0511   -65.1   0.906  -169.2

 1100000000  0.882  -164.1   0.355     5.8  0.0483   -66.9   0.909  -170.9

 1150000000  0.886  -166.0   0.327     3.4  0.0459   -68.3   0.911  -172.5

 1200000000  0.889  -167.8   0.302     1.2  0.0437   -69.6   0.914  -174.1

 1250000000  0.892  -169.5   0.280    -1.0  0.0416   -70.7   0.917  -175.6

 1300000000  0.894  -171.2   0.258    -2.9  0.0397   -71.7   0.919  -177.0

 1350000000  0.897  -172.8   0.239    -4.1  0.0382   -72.5   0.921  -178.3

 1400000000  0.899  -174.3   0.226    -5.2  0.0368   -73.7   0.923  -179.7

 1450000000  0.900  -175.8   0.214    -7.0  0.0352   -75.1   0.924   179.0

 1500000000  0.902  -177.2   0.200    -8.7  0.0336   -76.3   0.926   177.8

 1550000000  0.904  -178.6   0.187    -9.7  0.0320   -76.8   0.927   176.6

 1600000000  0.905   180.0   0.177    -9.7  0.0310   -77.1   0.929   175.4

 1650000000  0.906   178.6   0.172   -10.2  0.0302   -78.6   0.930   174.2

 1700000000  0.907   177.4   0.167   -12.2  0.0289   -80.5   0.931   173.0

 1750000000  0.908   176.1   0.159   -14.3  0.0273   -81.6   0.932   171.9

 1800000000  0.909   174.9   0.150   -15.2  0.0260   -82.0   0.933   170.8

 1850000000  0.910   173.6   0.145   -15.3  0.0250   -82.2   0.934   169.7

 1900000000  0.910   173.0   0.144   -15.2  0.0247   -82.8   0.935   169.2

 1950000000  0.911   172.5   0.144   -16.0  0.0244   -84.0   0.936   168.7

 2000000000  0.911   171.9   0.142   -17.7  0.0237   -85.5   0.936   168.2

END ACDATA



VAR        vds = 5.0

VAR        id = 0.020

!          REM     DATA    NUMBER = 18

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.963   -30.1   8.005   154.0  0.0374    64.2   0.700   -37.9

  100000000  0.888   -55.4   6.763   132.3  0.0633    43.4   0.695   -68.2

  150000000  0.823   -74.6   5.559   115.4  0.0783    27.2   0.695   -89.9

  200000000  0.781   -89.2   4.545   103.0  0.0842    14.7   0.702  -105.1

  250000000  0.759  -100.2   3.836    92.1  0.0884     4.8   0.714  -116.2

  300000000  0.750  -109.2   3.227    82.8  0.0884    -4.2   0.728  -124.4

  350000000  0.750  -116.5   2.768    74.6  0.0873   -11.0   0.743  -131.0

  400000000  0.754  -122.5   2.367    67.1  0.0860   -17.5   0.758  -136.3

  450000000  0.761  -127.8   2.047    61.1  0.0829   -23.3   0.772  -140.8

  500000000  0.769  -132.5   1.801    55.1  0.0800   -28.1   0.786  -144.7

  550000000  0.778  -136.6   1.577    49.4  0.0773   -32.7   0.799  -148.1

  600000000  0.788  -140.4   1.382    44.6  0.0743   -36.9   0.811  -151.2

  650000000  0.797  -143.8   1.222    40.5  0.0712   -40.7   0.822  -153.9

  700000000  0.807  -147.0   1.091    36.9  0.0683   -44.4   0.832  -156.5

  750000000  0.815  -149.9   0.984    33.7  0.0652   -48.1   0.841  -158.8

  800000000  0.823  -152.5   0.899    30.6  0.0613   -51.4   0.849  -161.1

  850000000  0.831  -155.0   0.824    26.9  0.0576   -53.5   0.856  -163.1

  900000000  0.837  -157.3   0.750    23.5  0.0550   -55.3   0.863  -165.1

  950000000  0.844  -159.5   0.689    20.4  0.0525   -57.1   0.869  -166.9

 1000000000  0.849  -161.6   0.631    17.1  0.0505   -58.8   0.875  -168.6

 1050000000  0.855  -163.5   0.578    14.4  0.0483   -61.1   0.879  -170.3

 1100000000  0.860  -165.4   0.533    11.8  0.0458   -63.0   0.884  -171.9

 1150000000  0.865  -167.2   0.491     9.4  0.0436   -64.4   0.888  -173.4

 1200000000  0.869  -168.9   0.455     7.1  0.0416   -65.7   0.892  -174.9

 1250000000  0.873  -170.6   0.421     4.9  0.0397   -66.8   0.895  -176.3

 1300000000  0.876  -172.1   0.389     3.0  0.0379   -67.8   0.899  -177.6

 1350000000  0.880  -173.6   0.361     1.8  0.0365   -68.5   0.902  -178.9

 1400000000  0.883  -175.1   0.341     0.7  0.0353   -69.8   0.904   179.8

 1450000000  0.885  -176.6   0.322    -1.2  0.0338   -71.2   0.907   178.5

 1500000000  0.888  -177.9   0.302    -2.9  0.0323   -72.3   0.909   177.3

 1550000000  0.890  -179.3   0.282    -3.9  0.0308   -72.8   0.911   176.1

 1600000000  0.892   179.4   0.267    -3.9  0.0299   -73.1   0.914   175.0

 1650000000  0.894   178.1   0.260    -4.4  0.0291   -74.5   0.916   173.8

 1700000000  0.895   176.8   0.252    -6.5  0.0279   -76.3   0.917   172.7

 1750000000  0.897   175.6   0.239    -8.6  0.0264   -77.4   0.919   171.6

 1800000000  0.898   174.4   0.227    -9.5  0.0251   -77.7   0.920   170.5

 1850000000  0.899   173.2   0.219    -9.7  0.0241   -77.8   0.922   169.5

 1900000000  0.900   172.6   0.217    -9.7  0.0239   -78.4   0.923   169.0

 1950000000  0.901   172.0   0.217   -10.5  0.0235   -79.5   0.924   168.4

 2000000000  0.902   171.5   0.216   -12.2  0.0228   -80.9   0.925   168.0

END ACDATA



VAR        vds = 5.0

VAR        id = 0.030

!          REM     DATA    NUMBER = 19

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.958   -32.5   9.587   153.2  0.0356    63.4   0.631   -42.1

  100000000  0.875   -59.2   7.995   131.4  0.0594    42.4   0.640   -74.4

  150000000  0.806   -79.0   6.505   114.9  0.0728    26.6   0.652   -96.4

  200000000  0.763   -93.7   5.301   103.0  0.0780    14.7   0.666  -111.2

  250000000  0.740  -104.6   4.461    92.5  0.0817     5.1   0.682  -121.6

  300000000  0.730  -113.3   3.754    83.6  0.0818    -3.4   0.699  -129.2

  350000000  0.730  -120.3   3.223    75.8  0.0808    -9.7   0.715  -135.1

  400000000  0.733  -126.0   2.761    68.6  0.0799   -16.1   0.731  -139.9

  450000000  0.741  -131.0   2.397    62.9  0.0774   -21.7   0.746  -144.0

  500000000  0.749  -135.3   2.113    57.2  0.0749   -26.2   0.761  -147.5

  550000000  0.759  -139.2   1.855    51.6  0.0725   -30.6   0.775  -150.6

  600000000  0.769  -142.7   1.631    47.0  0.0698   -34.7   0.788  -153.4

  650000000  0.779  -145.9   1.447    43.0  0.0673   -38.4   0.800  -155.9

  700000000  0.788  -148.8   1.297    39.5  0.0647   -42.0   0.810  -158.2

  750000000  0.798  -151.5   1.173    36.3  0.0619   -45.7   0.820  -160.4

  800000000  0.806  -154.1   1.074    33.3  0.0583   -49.0   0.829  -162.4

  850000000  0.815  -156.4   0.986    29.6  0.0550   -50.9   0.837  -164.4

  900000000  0.822  -158.6   0.899    26.3  0.0527   -52.8   0.845  -166.2

  950000000  0.829  -160.6   0.827    23.1  0.0504   -54.6   0.852  -167.9

 1000000000  0.836  -162.6   0.758    19.9  0.0485   -56.3   0.858  -169.5

 1050000000  0.842  -164.5   0.695    17.2  0.0465   -58.6   0.863  -171.1

 1100000000  0.847  -166.3   0.641    14.6  0.0442   -60.5   0.868  -172.6

 1150000000  0.852  -168.0   0.592    12.3  0.0421   -61.8   0.873  -174.1

 1200000000  0.857  -169.7   0.549    10.0  0.0402   -63.2   0.878  -175.5

 1250000000  0.862  -171.2   0.509     7.8  0.0385   -64.3   0.882  -176.8

 1300000000  0.866  -172.8   0.471     5.9  0.0368   -65.2   0.885  -178.1

 1350000000  0.870  -174.2   0.438     4.7  0.0355   -65.9   0.889  -179.4

 1400000000  0.873  -175.7   0.414     3.5  0.0343   -67.1   0.892   179.4

 1450000000  0.876  -177.1   0.391     1.6  0.0329   -68.4   0.895   178.2

 1500000000  0.879  -178.4   0.366    -0.1  0.0314   -69.4   0.898   177.0

 1550000000  0.882  -179.7   0.342    -1.1  0.0300   -69.9   0.901   175.8

 1600000000  0.884   179.0   0.325    -1.2  0.0291   -70.2   0.903   174.7

 1650000000  0.886   177.7   0.316    -1.7  0.0284   -71.6   0.906   173.6

 1700000000  0.888   176.5   0.307    -3.8  0.0272   -73.4   0.908   172.5

 1750000000  0.890   175.2   0.292    -5.9  0.0258   -74.5   0.910   171.4

 1800000000  0.891   174.0   0.276    -6.9  0.0245   -74.7   0.912   170.3

 1850000000  0.893   172.9   0.266    -7.1  0.0237   -74.9   0.914   169.3

 1900000000  0.894   172.3   0.264    -7.1  0.0234   -75.4   0.915   168.8

 1950000000  0.895   171.7   0.264    -7.9  0.0231   -76.5   0.916   168.3

 2000000000  0.895   171.2   0.262    -9.7  0.0225   -77.9   0.917   167.8

END ACDATA



VAR        vds = 5.0

VAR        id = 0.050

!          REM     DATA    NUMBER = 20

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.952   -35.3  11.421   152.4  0.0332    62.6   0.541   -48.8

  100000000  0.862   -63.8   9.384   130.6  0.0546    41.7   0.577   -83.5

  150000000  0.791   -84.2   7.552   114.4  0.0662    26.2   0.606  -105.3

  200000000  0.748   -99.1   6.137   103.1  0.0707    14.9   0.630  -119.2

  250000000  0.725  -109.9   5.148    93.0  0.0739     5.8   0.651  -128.7

  300000000  0.715  -118.3   4.333    84.6  0.0740    -2.2   0.671  -135.4

  350000000  0.714  -125.0   3.725    77.1  0.0735    -8.2   0.688  -140.6

  400000000  0.717  -130.3   3.198    70.4  0.0727   -14.1   0.705  -144.8

  450000000  0.723  -134.9   2.787    65.0  0.0706   -19.4   0.720  -148.3

  500000000  0.731  -138.9   2.466    59.5  0.0687   -23.6   0.735  -151.3

  550000000  0.740  -142.4   2.172    54.2  0.0668   -27.9   0.749  -153.9

  600000000  0.750  -145.6   1.918    49.8  0.0647   -31.8   0.763  -156.3

  650000000  0.760  -148.5   1.708    45.9  0.0625   -35.4   0.775  -158.5

  700000000  0.770  -151.3   1.537    42.5  0.0604   -38.9   0.787  -160.6

  750000000  0.780  -153.7   1.394    39.4  0.0578   -42.4   0.797  -162.5

  800000000  0.789  -156.0   1.280    36.3  0.0547   -45.7   0.806  -164.4

  850000000  0.798  -158.2   1.178    32.7  0.0518   -47.7   0.815  -166.1

  900000000  0.806  -160.2   1.077    29.4  0.0497   -49.5   0.824  -167.8

  950000000  0.813  -162.2   0.993    26.3  0.0477   -51.3   0.831  -169.4

 1000000000  0.820  -164.0   0.912    23.1  0.0461   -53.0   0.837  -170.9

 1050000000  0.826  -165.7   0.838    20.4  0.0444   -55.3   0.843  -172.4

 1100000000  0.833  -167.4   0.774    17.7  0.0422   -57.1   0.849  -173.8

 1150000000  0.838  -169.0   0.715    15.4  0.0403   -58.5   0.854  -175.1

 1200000000  0.844  -170.6   0.665    13.1  0.0385   -59.8   0.859  -176.4

 1250000000  0.849  -172.1   0.617    10.9  0.0369   -60.9   0.863  -177.7

 1300000000  0.853  -173.6   0.572     9.0  0.0354   -61.8   0.868  -178.9

 1350000000  0.858  -175.0   0.532     7.8  0.0341   -62.6   0.872   179.9

 1400000000  0.861  -176.4   0.503     6.6  0.0330   -63.7   0.875   178.7

 1450000000  0.865  -177.8   0.476     4.7  0.0317   -65.0   0.879   177.6

 1500000000  0.868  -179.1   0.446     2.9  0.0303   -66.1   0.882   176.4

 1550000000  0.871   179.6   0.417     1.9  0.0290   -66.6   0.886   175.3

 1600000000  0.874   178.4   0.396     1.8  0.0282   -66.9   0.889   174.2

 1650000000  0.877   177.1   0.385     1.2  0.0275   -68.1   0.892   173.1

 1700000000  0.879   175.9   0.374    -1.0  0.0264   -69.9   0.895   172.1

 1750000000  0.881   174.7   0.356    -3.1  0.0251   -70.9   0.897   171.0

 1800000000  0.883   173.5   0.337    -4.0  0.0239   -71.1   0.900   170.0

 1850000000  0.885   172.4   0.326    -4.2  0.0231   -71.1   0.902   169.0

 1900000000  0.886   171.8   0.324    -4.3  0.0229   -71.6   0.904   168.5

 1950000000  0.887   171.3   0.324    -5.1  0.0226   -72.6   0.905   168.0

 2000000000  0.888   170.8   0.321    -6.9  0.0220   -73.8   0.906   167.5

END ACDATA



VAR        vds = 5.0

VAR        id = 0.070

!          REM     DATA    NUMBER = 21

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.949   -37.0  12.449   152.0  0.0315    62.3   0.482   -54.4

  100000000  0.858   -66.4  10.149   130.1  0.0515    41.3   0.541   -90.2

  150000000  0.786   -87.3   8.118   114.3  0.0621    26.0   0.583  -111.4

  200000000  0.744  -102.3   6.590   103.2  0.0661    15.2   0.614  -124.5

  250000000  0.720  -113.1   5.519    93.4  0.0692     6.3   0.638  -133.3

  300000000  0.711  -121.3   4.647    85.3  0.0693    -1.4   0.658  -139.5

  350000000  0.708  -127.7   3.998    78.0  0.0689    -7.1   0.676  -144.2

  400000000  0.711  -132.9   3.437    71.5  0.0684   -12.9   0.693  -148.0

  450000000  0.717  -137.3   3.003    66.3  0.0666   -17.9   0.708  -151.1

  500000000  0.724  -141.2   2.662    60.9  0.0650   -22.1   0.723  -153.8

  550000000  0.733  -144.5   2.349    55.7  0.0633   -26.2   0.737  -156.2

  600000000  0.742  -147.6   2.079    51.4  0.0614   -30.0   0.750  -158.4

  650000000  0.752  -150.3   1.856    47.7  0.0595   -33.5   0.763  -160.4

  700000000  0.762  -152.9   1.674    44.3  0.0575   -36.9   0.774  -162.3

  750000000  0.771  -155.2   1.521    41.2  0.0553   -40.4   0.784  -164.1

  800000000  0.780  -157.4   1.400    38.2  0.0525   -43.5   0.794  -165.8

  850000000  0.789  -159.4   1.291    34.5  0.0497   -45.4   0.803  -167.4

  900000000  0.797  -161.3   1.181    31.3  0.0479   -47.1   0.811  -169.0

  950000000  0.805  -163.2   1.091    28.1  0.0461   -48.9   0.819  -170.5

 1000000000  0.812  -164.9   1.003    25.0  0.0446   -50.8   0.825  -171.9

 1050000000  0.818  -166.6   0.923    22.3  0.0429   -53.0   0.831  -173.3

 1100000000  0.824  -168.2   0.854    19.7  0.0409   -54.8   0.836  -174.6

 1150000000  0.831  -169.8   0.790    17.3  0.0391   -56.2   0.842  -175.9

 1200000000  0.836  -171.3   0.734    15.0  0.0374   -57.6   0.847  -177.2

 1250000000  0.841  -172.8   0.682    12.8  0.0359   -58.6   0.851  -178.4

 1300000000  0.846  -174.2   0.632    10.9  0.0344   -59.4   0.856  -179.5

 1350000000  0.851  -175.6   0.589     9.7  0.0332   -60.1   0.860   179.3

 1400000000  0.855  -177.0   0.558     8.5  0.0322   -61.3   0.864   178.2

 1450000000  0.858  -178.3   0.528     6.6  0.0310   -62.6   0.868   177.1

 1500000000  0.862  -179.5   0.495     4.8  0.0297   -63.6   0.872   176.0

 1550000000  0.865   179.2   0.464     3.7  0.0284   -64.1   0.875   174.9

 1600000000  0.868   177.9   0.440     3.5  0.0276   -64.3   0.879   173.9

 1650000000  0.871   176.7   0.429     2.9  0.0270   -65.6   0.882   172.8

 1700000000  0.873   175.5   0.416     0.7  0.0259   -67.3   0.886   171.8

 1750000000  0.875   174.4   0.396    -1.4  0.0246   -68.2   0.889   170.8

 1800000000  0.878   173.2   0.375    -2.3  0.0235   -68.4   0.892   169.7

 1850000000  0.880   172.1   0.362    -2.6  0.0227   -68.4   0.894   168.7

 1900000000  0.881   171.5   0.360    -2.7  0.0225   -68.9   0.896   168.2

 1950000000  0.882   171.0   0.360    -3.5  0.0222   -69.9   0.898   167.7

 2000000000  0.883   170.5   0.357    -5.3  0.0216   -71.2   0.899   167.3

END ACDATA



VAR        vds = 5.0

VAR        id = 0.100

!          REM     DATA    NUMBER = 22

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.949   -38.5  13.306   151.7  0.0297    62.1   0.420   -61.6

  100000000  0.855   -68.8  10.776   129.8  0.0484    41.1   0.508   -97.8

  150000000  0.785   -90.1   8.582   114.2  0.0581    26.2   0.565  -118.0

  200000000  0.743  -105.1   6.964   103.4  0.0618    15.6   0.601  -130.1

  250000000  0.720  -115.9   5.825    93.8  0.0647     7.1   0.628  -138.1

  300000000  0.710  -124.0   4.907    85.9  0.0647    -0.4   0.649  -143.7

  350000000  0.707  -130.4   4.225    78.9  0.0646    -5.9   0.668  -147.9

  400000000  0.708  -135.5   3.638    72.6  0.0642   -11.5   0.684  -151.3

  450000000  0.713  -139.7   3.186    67.5  0.0627   -16.3   0.699  -154.1

  500000000  0.720  -143.3   2.829    62.3  0.0613   -20.4   0.713  -156.5

  550000000  0.728  -146.5   2.502    57.2  0.0600   -24.4   0.727  -158.7

  600000000  0.737  -149.5   2.219    53.0  0.0582   -28.1   0.740  -160.6

  650000000  0.746  -152.1   1.986    49.4  0.0565   -31.5   0.752  -162.4

  700000000  0.756  -154.5   1.796    46.1  0.0547   -34.8   0.763  -164.1

  750000000  0.764  -156.7   1.637    43.0  0.0528   -38.2   0.773  -165.7

  800000000  0.773  -158.8   1.509    40.0  0.0502   -41.3   0.782  -167.4

  850000000  0.781  -160.7   1.393    36.4  0.0477   -43.1   0.791  -168.9

  900000000  0.789  -162.5   1.277    33.1  0.0460   -44.9   0.799  -170.3

  950000000  0.797  -164.2   1.180    30.0  0.0443   -46.6   0.807  -171.7

 1000000000  0.804  -165.9   1.086    26.8  0.0429   -48.4   0.813  -173.1

 1050000000  0.811  -167.5   1.001    24.1  0.0414   -50.7   0.819  -174.4

 1100000000  0.818  -169.1   0.927    21.5  0.0395   -52.4   0.824  -175.6

 1150000000  0.824  -170.6   0.858    19.2  0.0378   -53.7   0.829  -176.8

 1200000000  0.830  -172.1   0.798    16.9  0.0362   -55.0   0.834  -178.0

 1250000000  0.835  -173.5   0.742    14.7  0.0348   -56.1   0.839  -179.2

 1300000000  0.840  -174.9   0.689    12.9  0.0334   -56.9   0.843   179.7

 1350000000  0.845  -176.2   0.642    11.6  0.0323   -57.6   0.848   178.7

 1400000000  0.849  -177.5   0.609    10.4  0.0313   -58.7   0.852   177.6

 1450000000  0.853  -178.8   0.577     8.4  0.0302   -60.0   0.856   176.5

 1500000000  0.856   179.9   0.541     6.6  0.0289   -61.0   0.860   175.5

 1550000000  0.860   178.7   0.507     5.5  0.0277   -61.5   0.864   174.4

 1600000000  0.863   177.5   0.482     5.3  0.0270   -61.6   0.868   173.4

 1650000000  0.866   176.3   0.470     4.6  0.0264   -62.8   0.872   172.4

 1700000000  0.868   175.1   0.456     2.5  0.0254   -64.4   0.875   171.4

 1750000000  0.871   174.0   0.435     0.4  0.0241   -65.3   0.879   170.4

 1800000000  0.873   172.8   0.413    -0.6  0.0230   -65.5   0.882   169.4

 1850000000  0.875   171.7   0.398    -1.0  0.0223   -65.4   0.886   168.4

 1900000000  0.876   171.2   0.396    -1.1  0.0221   -65.9   0.887   167.9

 1950000000  0.877   170.7   0.396    -1.9  0.0218   -66.9   0.889   167.5

 2000000000  0.878   170.1   0.393    -3.7  0.0212   -68.1   0.891   167.0

END ACDATA



VAR        vds = 5.0

VAR        id = 0.150

!          REM     DATA    NUMBER = 23

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.949   -39.9  13.913   151.7  0.0278    62.1   0.354   -72.8

  100000000  0.855   -71.0  11.227   129.8  0.0450    41.0   0.478  -107.5

  150000000  0.787   -92.6   8.913   114.4  0.0539    26.4   0.550  -125.6

  200000000  0.748  -107.8   7.235   103.8  0.0574    16.2   0.593  -136.4

  250000000  0.725  -118.6   6.048    94.4  0.0600     7.8   0.622  -143.5

  300000000  0.714  -126.6   5.098    86.8  0.0602     0.7   0.645  -148.4

  350000000  0.710  -132.9   4.395    79.9  0.0602    -4.5   0.663  -152.1

  400000000  0.711  -137.9   3.790    73.9  0.0599    -9.9   0.678  -155.0

  450000000  0.714  -142.0   3.328    68.9  0.0586   -14.6   0.692  -157.4

  500000000  0.720  -145.5   2.961    63.8  0.0575   -18.4   0.706  -159.6

  550000000  0.727  -148.6   2.624    58.9  0.0563   -22.3   0.719  -161.5

  600000000  0.735  -151.3   2.333    54.8  0.0548   -25.9   0.731  -163.2

  650000000  0.743  -153.9   2.094    51.2  0.0534   -29.3   0.743  -164.7

  700000000  0.752  -156.2   1.898    48.0  0.0519   -32.6   0.753  -166.3

  750000000  0.760  -158.3   1.734    44.9  0.0502   -35.9   0.763  -167.8

  800000000  0.768  -160.2   1.601    41.9  0.0478   -39.0   0.772  -169.2

  850000000  0.776  -162.1   1.480    38.3  0.0455   -40.7   0.780  -170.7

  900000000  0.784  -163.8   1.359    35.0  0.0440   -42.5   0.788  -172.0

  950000000  0.792  -165.5   1.258    31.9  0.0425   -44.3   0.795  -173.3

 1000000000  0.798  -167.0   1.159    28.7  0.0412   -46.0   0.800  -174.6

 1050000000  0.805  -168.6   1.070    26.1  0.0397   -48.2   0.806  -175.8

 1100000000  0.811  -170.0   0.991    23.5  0.0379   -49.9   0.810  -176.9

 1150000000  0.817  -171.5   0.918    21.1  0.0364   -51.2   0.815  -178.1

 1200000000  0.823  -172.9   0.856    18.9  0.0349   -52.4   0.820  -179.2

 1250000000  0.829  -174.3   0.796    16.7  0.0336   -53.3   0.824   179.8

 1300000000  0.833  -175.6   0.740    14.8  0.0323   -54.2   0.829   178.8

 1350000000  0.838  -176.9   0.691    13.5  0.0313   -54.8   0.833   177.8

 1400000000  0.843  -178.2   0.655    12.3  0.0304   -55.8   0.838   176.8

 1450000000  0.846  -179.4   0.621    10.4  0.0293   -57.1   0.842   175.8

 1500000000  0.850   179.4   0.583     8.6  0.0281   -58.0   0.846   174.8

 1550000000  0.854   178.2   0.547     7.5  0.0269   -58.4   0.851   173.8

 1600000000  0.857   177.0   0.521     7.3  0.0262   -58.5   0.855   172.8

 1650000000  0.860   175.8   0.507     6.6  0.0257   -59.6   0.859   171.9

 1700000000  0.863   174.7   0.493     4.4  0.0247   -61.2   0.863   170.9

 1750000000  0.865   173.6   0.470     2.3  0.0236   -62.0   0.867   169.9

 1800000000  0.868   172.5   0.447     1.3  0.0226   -62.0   0.871   169.0

