! (C) Copyright TOSHIBA CORPORATION 2016
! Date: 		2003-01-20
! Part Number: 		2SK3475
! Model:		RF-MOSFET


!          2SK3475         20030120

VAR        vds = 3.0

VAR        id = 0.010

!          REM     DATA    NUMBER = 1

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

 1450000000  0.889  -176.8   0.266    -3.5  0.0325   -72.4   0.914   175.8

 1500000000  0.891  -178.2   0.249    -5.1  0.0310   -73.5   0.916   174.7

 1550000000  0.893  -179.6   0.233    -6.0  0.0296   -74.0   0.918   173.6

 1600000000  0.895   179.1   0.221    -6.1  0.0286   -74.3   0.919   172.4

 1650000000  0.897   177.8   0.215    -6.6  0.0279   -75.6   0.921   171.4

 1700000000  0.898   176.5   0.209    -8.7  0.0266   -77.4   0.922   170.3

 1750000000  0.899   175.3   0.198   -10.7  0.0252   -78.5   0.924   169.3

 1800000000  0.901   174.1   0.188   -11.5  0.0240   -78.7   0.925   168.2

 1850000000  0.902   172.9   0.181   -11.6  0.0231   -78.8   0.926   167.2

 1900000000  0.902   172.3   0.180   -11.7  0.0228   -79.3   0.927   166.7

 1950000000  0.903   171.7   0.180   -12.4  0.0225   -80.5   0.928   166.2

 2000000000  0.904   171.2   0.179   -14.1  0.0218   -81.8   0.929   165.7

END ACDATA



VAR        vds = 3.0

VAR        id = 0.030

!          REM     DATA    NUMBER = 3

BEGIN      ACDATA

#          HZ      S       MA      R            50

% F        n11x    n11y    n21x    n21y    n12x    n12y    n22x    n22y

   50000000  0.952   -33.2   8.631   151.9  0.0382    62.2   0.559   -49.1

  100000000  0.862   -60.0   7.100   129.4  0.0629    40.5   0.602   -83.8

  150000000  0.791   -79.6   5.708   112.6  0.0761    24.4   0.638  -105.6

  200000000  0.749   -93.9   4.623   100.6  0.0809    12.4   0.667  -119.6

  250000000  0.729  -104.6   3.861    89.9  0.0841     2.8   0.691  -129.2

  300000000  0.722  -113.1   3.229    80.9  0.0836    -5.7   0.713  -136.2

  350000000  0.724  -120.0   2.758    73.0  0.0824   -12.2   0.732  -141.6

  400000000  0.730  -125.7   2.350    65.8  0.0810   -18.4   0.750  -145.9

  450000000  0.739  -130.6   2.034    60.1  0.0780   -24.0   0.766  -149.6

  500000000  0.750  -135.0   1.787    54.3  0.0753   -28.5   0.780  -152.8

  550000000  0.760  -138.9   1.562    48.8  0.0727   -32.9   0.794  -155.6

  600000000  0.772  -142.4   1.369    44.2  0.0699   -37.0   0.807  -158.1

  650000000  0.782  -145.7   1.211    40.3  0.0670   -40.7   0.818  -160.4

  700000000  0.793  -148.7   1.084    36.8  0.0642   -44.3   0.828  -162.5

  750000000  0.802  -151.4   0.978    33.6  0.0613   -47.9   0.837  -164.5

  800000000  0.811  -154.0   0.894    30.6  0.0577   -51.2   0.846  -166.4

  850000000  0.819  -156.4   0.820    26.9  0.0543   -53.1   0.853  -168.2

  900000000  0.827  -158.6   0.746    23.6  0.0518   -54.9   0.860  -169.9

  950000000  0.834  -160.7   0.686    20.5  0.0494   -56.6   0.866  -171.5

 1000000000  0.841  -162.6   0.627    17.3  0.0475   -58.2   0.871  -173.0

 1050000000  0.846  -164.5   0.575    14.6  0.0455   -60.5   0.876  -174.5

 1100000000  0.852  -166.4   0.529    12.1  0.0431   -62.3   0.881  -175.9

 1150000000  0.857  -168.1   0.488     9.8  0.0410   -63.6   0.885  -177.2

 1200000000  0.861  -169.8   0.452     7.5  0.0391   -64.9   0.889  -178.6

 1250000000  0.866  -171.4   0.419     5.4  0.0373   -66.0   0.892  -179.8

 1300000000  0.870  -172.9   0.388     3.6  0.0357   -66.9   0.895   179.0

 1350000000  0.874  -174.4   0.360     2.5  0.0343   -67.5   0.898   177.8

 1400000000  0.877  -175.9   0.341     1.4  0.0331   -68.7   0.901   176.6

 1450000000  0.880  -177.3   0.322    -0.5  0.0318   -70.1   0.904   175.5

 1500000000  0.883  -178.6   0.301    -2.1  0.0303   -71.1   0.906   174.3

 1550000000  0.885  -180.0   0.281    -3.1  0.0289   -71.6   0.908   173.2

 1600000000  0.887   178.7   0.267    -3.2  0.0280   -71.8   0.910   172.2

 1650000000  0.889   177.4   0.260    -3.7  0.0272   -73.0   0.912   171.1

 1700000000  0.891   176.2   0.252    -5.9  0.0260   -74.8   0.914   170.0

 1750000000  0.893   175.0   0.240    -7.9  0.0246   -75.7   0.916   169.0

 1800000000  0.894   173.8   0.227    -8.8  0.0234   -75.8   0.918   168.0

 1850000000  0.895   172.6   0.219    -9.0  0.0225   -75.8   0.919   167.0

 1900000000  0.896   172.0   0.218    -9.0  0.0222   -76.3   0.920   166.5

